206470.9,-0.117
206472.9,4.17
206537.3,8.453
14806.38,12.732
9648.101,17.008
7139.752,21.28
5497.874,25.549
4371.844,29.813
3498.817,34.075
2918.081,38.332
2434.777,42.586
2018.779,46.837
1747.471,51.084
1461.085,55.327
1283.223,59.567
1173.692,63.803
1036.024,68.036
928.5022,72.265
930.5112,76.49
956.6379,80.712
1009.897,84.931
1229.965,89.145
1517.358,93.357
1899.203,97.564
2361.426,101.769
2903.01,105.969
3326.005,110.167
3698.747,114.36
4034.303,118.55
4189.993,122.737
4420.07,126.92
4618.971,131.1
4760.604,135.276
4924.33,139.448
5005.691,143.617
5211.617,147.783
5259.823,151.945
5401.454,156.104
5497.874,160.259
5559.155,164.411
5612.368,168.559
5644.512,172.704
5656.561,176.845
5626.419,180.983
5696.733,185.117
5738.919,189.248
5735.904,193.376
5718.815,197.5
5762.009,201.62
5788.125,205.738
5764.026,209.851
5739.914,213.962
5724.862,218.069
5663.586,222.172
5547.085,226.272
5492.846,230.369
5305.018,234.463
5253.79,238.552
5181.487,242.639
5145.323,246.722
5113.178,250.802
5085.055,254.878
5113.182,258.951
5083.052,263.021
5183.501,267.087
5198.556,271.15
5213.613,275.21
5278.908,279.266
5287.959,283.319
5392.408,287.368
5412.501,291.414
5440.614,295.457
5537.047,299.496
5528.014,303.532
5497.875,307.565
5564.16,311.595
5624.412,315.621
5494.865,319.644
5494.846,323.663
5441.627,327.679
5449.663,331.692
5412.502,335.702
5330.137,339.708
5311.053,343.711
5253.803,347.711
5237.727,351.707
5184.487,355.7
5266.859,359.69
5230.688,363.677
5254.813,367.66
5255.812,371.64
5326.126,375.617
5403.46,379.59
5373.322,383.561
5370.331,387.528
5330.137,391.491
5374.319,395.452
5382.358,399.409
5375.337,403.363
5330.138,407.314
5388.394,411.262
5340.174,415.206
5262.826,419.147
5292.97,423.085
5188.512,427.02
5233.723,430.951
5209.6,434.879
5221.652,438.804
5204.583,442.726
5177.46,446.645
5226.683,450.56
5193.524,454.473
5186.502,458.382
5157.374,462.288
5174.458,466.191
5166.426,470.09
5103.127,473.987
5138.288,477.88
5085.057,481.77
5118.204,485.657
5096.107,489.541
5094.086,493.421
5086.059,497.299
5054.916,501.173
5101.131,505.044
5124.217,508.912
5120.205,512.777
5105.145,516.639
5130.256,520.497
5105.146,524.353
5094.106,528.205
5024.787,532.055
4983.596,535.901
5002.692,539.744
4956.459,543.584
4971.549,547.421
4878.138,551.255
4835.949,555.085
4852.021,558.913
4869.094,562.737
4839.969,566.559
4735.498,570.377
4784.714,574.192
4773.668,578.005
4776.682,581.814
4684.265,585.62
4767.643,589.423
4689.282,593.223
4713.395,597.02
4682.252,600.813
4644.08,604.604
4667.186,608.392
4743.526,612.177
4862.06,615.958
4976.571,619.737
4772.655,623.513
4703.346,627.285
4691.302,631.055
4666.176,634.821
4631.015,638.585
4700.335,642.345
4620.927,646.103
4627.002,649.857
4601.895,653.609
4654.125,657.357
4585.811,661.103
4532.566,664.845
4494.407,668.585
4465.267,672.321
4432.124,676.055
4415.046,679.785
4352.76,683.513
4380.893,687.237
4345.731,690.959
4342.716,694.678
4341.706,698.393
4335.688,702.106
4306.547,705.816
4278.415,709.523
4316.599,713.227
4294.498,716.928
4325.633,720.626
4319.597,724.321
4303.532,728.013
4262.317,731.702
4268.38,735.388
4271.394,739.072
4275.41,742.752
4302.523,746.43
4292.487,750.104
4236.23,753.776
4257.334,757.445
4222.165,761.11
4164.896,764.773
4234.219,768.433
4225.181,772.091
4284.453,775.745
4240.253,779.396
4218.142,783.045
4238.239,786.69
4276.414,790.333
4247.277,793.973
4155.853,797.61
4056.398,801.244
3952.928,804.875
3935.849,808.504
3894.657,812.129
3857.487,815.752
3851.455,819.372
3790.177,822.989
3860.5,826.603
3868.536,830.214
3851.454,833.822
3861.501,837.428
3923.794,841.031
3872.552,844.631
3831.368,848.228
3825.335,851.822
3858.482,855.413
3779.982,859.002
3801.23,862.588
3777.109,866.171
3694.728,869.751
3675.64,873.328
3694.728,876.903
3661.577,880.475
3697.743,884.044
3649.519,887.61
3682.677,891.173
3734.917,894.734
3690.71,898.292
3686.694,901.847
3679.666,905.399
3624.402,908.948
3592.249,912.495
3567.133,916.039
3520.918,919.58
3482.738,923.119
3480.735,926.654
3419.441,930.187
3402.364,933.717
3375.238,937.245
3343.088,940.769
3372.224,944.291
3332.035,947.81
3346.1,951.327
3365.19,954.84
3319.978,958.351
3389.304,961.86
3375.234,965.365
3429.491,968.868
3436.523,972.368
3422.457,975.865
3500.828,979.36
3510.872,982.852
3637.461,986.341
3776.115,989.827
4192.032,993.311
5221.66,996.792
5165.393,1000.271
4157.875,1003.746
3542.02,1007.219
3395.333,1010.69
3346.102,1014.157
3391.314,1017.622
3489.77,1021.084
3659.566,1024.544
3733.912,1028.001
3725.876,1031.455
3520.915,1034.907
3379.256,1038.356
3288.833,1041.802
3232.565,1045.245
3211.468,1048.686
3219.509,1052.125
3173.291,1055.56
3147.166,1058.993
3096.927,1062.423
3107.98,1065.851
3068.796,1069.276
3082.859,1072.699
3090.897,1076.118
3077.837,1079.536
3078.843,1082.95
3117.024,1086.362
3110.993,1089.771
3111.997,1093.178
3108.984,1096.582
3071.81,1099.983
3089.895,1103.382
3029.608,1106.778
3050.71,1110.172
3006.502,1113.563
3067.789,1116.951
2971.333,1120.337
3006.499,1123.721
2987.411,1127.101
2954.254,1130.479
2916.071,1133.855
2927.124,1137.228
2969.323,1140.598
2957.263,1143.966
3015.543,1147.331
3137.116,1150.693
3154.199,1154.053
3043.678,1157.411
2994.444,1160.766
2963.293,1164.118
3055.731,1167.468
2990.425,1170.815
3119.032,1174.159
3237.592,1177.502
3254.672,1180.841
3181.322,1184.178
3120.037,1187.513
3107.981,1190.845
3105.973,1194.174
3071.811,1197.501
3059.75,1200.825
2942.195,1204.147
2877.89,1207.466
2780.425,1210.783
2782.436,1214.097
2723.154,1217.409
2728.177,1220.718
2748.276,1224.025
2702.051,1227.329
2703.06,1230.631
2661.863,1233.93
2711.098,1237.227
2683.967,1240.521
2698.035,1243.813
2705.067,1247.102
2728.178,1250.389
2706.074,1253.673
2667.874,1256.955
2675.93,1260.234
2667.891,1263.511
2679.943,1266.785
2653.824,1270.057
2678.945,1273.326
2612.626,1276.593
2652.818,1279.857
2638.752,1283.119
2657.843,1286.379
2671.911,1289.636
2699.036,1292.891
2718.129,1296.143
2714.111,1299.392
2732.196,1302.64
2724.158,1305.884
2715.118,1309.127
2770.377,1312.367
2732.196,1315.604
2757.316,1318.839
2696.024,1322.072
2773.393,1325.302
2738.227,1328.53
2688.991,1331.755
2681.959,1334.978
2705.068,1338.199
2614.636,1341.417
2610.617,1344.632
2586.502,1347.846
2610.618,1351.056
2597.555,1354.265
