WAVE,INTENSITY_RAW,INTENSITY_MED,INTENSITY_CORR,INTENSITY_SNV,INTENSITY_NORM
202,5762.0,5762.0,190.1969139461653,1.7564148653435092,0.31843190477736905
203,5768.5,5764.0,196.86628591845783,1.818004634765081,0.3226830150329174
204,5775.0,5764.0,201.4575191085396,1.860403378561733,0.3256095032511569
205,5781.5,5764.0,205.97164625070036,1.902090069749505,0.32848684346678925
206,5788.0,5764.0,210.40969164643502,1.943074167463852,0.3313156885776598
207,5782.0,5764.0,214.77267121297245,1.9833650534138978,0.3340966861374165
208,5776.0,5764.0,219.0615925315269,2.0229720323280205,0.3368304783862659
209,5770.0,5764.0,223.27745489545669,2.061904332398587,0.3395177022816699
210,5764.0,5764.0,227.42124935808351,2.1001711057235486,0.3421589895288261
211,5758.0,5758.0,225.49395878044743,2.0823731207291427,0.3409305193259272
212,5752.0,5752.0,223.4965578787569,2.0639276866629914,0.3396573602499461
213,5746.0,5746.0,221.43001327169077,2.0448437299760105,0.3383401284312465
214,5740.0,5740.0,219.29528352750458,2.0251301027757265,0.3369794348687889
215,5736.25,5736.25,219.34331921086232,2.025573698765619,0.3370100531919238
216,5732.5,5732.5,219.32506292959988,2.025405107156376,0.3369984164943718
217,5728.75,5728.75,219.24144938116478,2.0246329596153436,0.3369451205596523
218,5725.0,5725.0,219.0934053989149,2.023265815187217,0.3368507561586519
219,5709.75,5709.75,207.38184999824261,1.9151129036849028,0.3293857184490957
220,5694.5,5694.5,195.6076944224369,1.80638189721829,0.32188077889456607
221,5679.25,5679.25,183.77184218841285,1.6970811395113,0.31433651340386515
222,5664.0,5664.0,171.8751891322272,1.587218903357294,0.30675349298995547
223,5634.75,5634.75,145.9186234543413,1.3475173389943524,0.290208573466724
224,5605.5,5605.5,119.90302576480644,1.1072706306506805,0.2736260264740443
225,5576.25,5576.25,93.82926912813582,0.8664868408308553,0.25700640851011763
226,5547.0,5547.0,67.69821910808514,0.6251739627720744,0.24035027129210312
227,5533.5,5533.5,57.26073381213246,0.528786729402963,0.23369733590806763
228,5520.0,5520.0,46.76766393589969,0.4318861881096471,0.2270089704745071
229,5506.5,5506.5,36.219852807244024,0.33448012678707184,0.22028571253524393
230,5493.0,5493.0,25.618136430255618,0.23657626569725937,0.21352809496587355
231,5446.0,5446.0,-18.536656470956586,-0.17118079522854104,0.18538348199275212
232,5399.0,5399.0,-62.74370440870916,-0.5794204166810308,0.15720556124752505
233,5352.0,5352.0,-107.00219308830401,-0.9881350788783019,0.12899485176805026
234,5305.0,5305.0,-151.31131536485827,-1.3973173280649733,0.10075186803483709
235,5294.8,5294.8,-158.87027120025687,-1.467122153602394,0.09593373001425608
236,5284.6,5284.6,-166.47826762032128,-1.537379855109908,0.09108433313852693
237,5274.4,5274.4,-174.13451867216645,-1.6080831745342588,0.08620417838021256
238,5264.2,5264.2,-181.83824538172212,-1.679224918269575,0.08129376226352435
239,5254.0,5254.0,-189.58867571149221,-1.7507979567672933,0.07635357689124661
240,5235.75,5235.75,-205.43504451839908,-1.8971347040714175,0.06625297653065715
241,5217.5,5217.5,-221.3265935119407,-2.043888677658439,0.05612357796304776
242,5199.25,5199.25,-237.26257121240997,-2.191052937825177,0.0459658601875062
243,5181.0,5181.0,-253.24223290938608,-2.3386206073809026,0.035780297888323515
244,5172.0,5172.0,-260.0148406203625,-2.4011637297370565,0.03146338435935131
245,5163.0,5163.0,-266.82966304956244,-2.464096693111583,0.02711956283629502
246,5154.0,5154.0,-273.68597554695407,-2.527412805565787,0.02274929521679578
247,5145.0,5145.0,-280.58306006741805,-2.591105436155478,0.01835303918847145
248,5137.0,5137.0,-286.5202051301221,-2.645933296552755,0.014568656135674984
249,5129.0,5129.0,-292.4967057780641,-2.701124594681549,0.010759187522691921
250,5121.0,5121.0,-298.511863537773,-2.7566728803363234,0.006925078562017156
251,5113.0,5113.0,-304.5649863792423,-2.8125717628151174,0.0030667703590307183
252,5106.0,5113.0,-302.6553886759775,-2.7949371665261937,0.0042839629843702265
253,5099.0,5106.0,-307.7823911652613,-2.8422835887156683,0.0010159711924948023
254,5092.0,5106.0,-305.94532090859775,-2.8253187629435885,0.0021869342517917834
255,5085.0,5105.5,-304.6435112522904,-2.813296917873942,0.00301671798610606
256,5092.0,5099.0,-309.37630178826566,-2.8570029038411806,0.0
257,5099.0,5099.0,-307.64303831496727,-2.8409967044402817,0.0011047957974929523
258,5106.0,5099.0,-305.9430727985791,-2.8252980022815266,0.002188367214834702
259,5113.0,5099.0,-304.2757633342362,-2.8099008695545025,0.003251123407244899
260,5105.5,5099.0,-302.6404741075612,-2.794799434692732,0.00429346964781846
261,5098.0,5105.5,-294.53657535631555,-2.719962214999703,0.009458958577581056
262,5090.5,5106.0,-292.4634433321953,-2.700817425373859,0.010780389267825485
263,5083.0,5108.25,-288.6704602628424,-2.6657902963380393,0.013198066568212236
264,5108.25,5113.0,-282.4070143140225,-2.607949139273337,0.017190436377351626
265,5133.5,5133.5,-260.42249955193256,-2.404928345011531,0.03120353934366424
266,5158.75,5158.75,-233.7163159057436,-2.1583042701012913,0.048226271267528764
267,5184.0,5184.0,-207.0378691302476,-1.9119363373701879,0.06523132349142316
268,5187.75,5187.75,-201.88657076871823,-1.864365549651887,0.06851480166374041
269,5191.5,5191.5,-196.76183811591545,-1.8170400887622273,0.07178134664395458
270,5195.25,5195.25,-191.6630941812782,-1.769954626356087,0.07503132621039654
271,5199.0,5199.0,-186.58976765226362,-1.723103886523241,0.07826510452218352
272,5202.75,5202.75,-181.5412928578735,-1.676482645451539,0.08148304214246772
273,5206.5,5206.5,-176.51710973231002,-1.6300857310912742,0.0846854960616025
274,5210.25,5210.25,-171.51666377884703,-1.5839080228215474,0.08787281972017102
275,5214.0,5214.0,-166.53940603384763,-1.5379444511179778,0.09104536303192175
276,5230.25,5230.25,-149.08479303090644,-1.3767560221834338,0.10217107091741623
277,5246.5,5246.5,-131.6522867652311,-1.2157717427335073,0.11328268779435728
278,5262.75,5262.75,-114.24135465811378,-1.054986694554017,0.12438055313261048
279,5279.0,5279.0,-96.85146952160721,-0.8943960092129357,0.13546500296592806
280,5281.25,5281.25,-93.48210952337286,-0.863280919778482,0.13761265958226834
281,5283.5,5283.5,-90.13275815164161,-0.8323506043674128,0.1397475625423903
282,5285.75,5285.75,-86.80290418038749,-0.8016003419515424,0.14187003770579176
283,5288.0,5288.0,-83.49204163462218,-0.7710254599945372,0.14398040758491784
284,5314.0,5314.0,-56.44966975588977,-0.5212967815608146,0.1612174285376591
285,5340.0,5340.0,-29.425292967890528,-0.271734282715452,0.1784429792777502
286,5366.0,5366.0,-2.4184208422611846,-0.022333434490814104,0.1956573724080949
287,5392.0,5392.0,24.571431935450164,0.22691024485520533,0.21286091727194947
288,5397.25,5397.25,30.79474559971095,0.28438079158918594,0.21682770644663382
289,5402.5,5402.5,37.00199533869545,0.341702992503218,0.22078425634874946
290,5407.75,5407.75,43.19365132789608,0.39888118953538587,0.22473086667186065
291,5413.0,5413.0,49.37017876351729,0.4559196786414537,0.2286678339356943
292,5420.0,5420.0,57.282037895764006,0.5289834666076138,0.23371091529886895
293,5427.0,5427.0,65.17968406192995,0.6019160018400308,0.23874493720545326
294,5434.0,5434.0,73.06356771936225,0.6747214441852784,0.24377018678051035
295,5441.0,5441.0,80.9341344782506,0.747403908727797,0.2487869480594868
296,5465.0,5465.0,105.79182513428441,0.9769576721433381,0.26463143598370586
297,5489.0,5489.0,130.6370757011473,1.2063965548434528,0.2804679944970487
298,5513.0,5513.0,155.47031744282503,1.4357245394294347,0.29629689849057855
299,5537.0,5513.0,156.29197690582805,1.4433123328648056,0.2968206307076826
300,5535.2,5513.0,157.10247595121473,1.4507970629906934,0.29733724918664434
301,5533.4,5513.0,157.90223178645465,1.4581825826004284,0.2978470198587927
302,5531.6,5514.5,160.19165699719088,1.4793247788106525,0.2993063175307632
303,5529.8,5520.5,166.97115957879942,1.5419315733527617,0.30362762590461384
304,5528.0,5528.0,175.24114296782682,1.6183025378403433,0.3088989784913888
305,5520.5,5529.8,177.80200607328243,1.6419513864636426,0.3105312928166184
306,5513.0,5531.0,179.75414330774947,1.659978823327201,0.31177560047439445
307,5505.5,5531.0,180.49794461839792,1.666847618681339,0.3122497052915983
308,5498.0,5531.0,181.2337955177909,1.6736429942295243,0.31271874245401177
309,5514.5,5531.0,181.9620771146001,1.6803684694028689,0.31318295488330566
310,5531.0,5531.0,182.68316614413743,1.6870275232457397,0.31364258271353684
311,5547.5,5547.5,199.89743499875112,1.845996441746796,0.324615093344768
312,5564.0,5547.5,200.6052517580847,1.8525329299170747,0.3250662613253744
313,5579.0,5547.5,201.30698021915123,1.859013194369739,0.3255135485766843
314,5594.0,5547.5,202.00297992635114,1.8654405553959361,0.3259571842751321
315,5609.0,5547.5,202.6936062012228,1.8718182942898731,0.3263973949054666
316,5624.0,5547.5,203.37921017216286,1.8781496536232765,0.326834404279695
317,5591.75,5547.5,204.0601388039313,1.884437837517861,0.3272684335558897
318,5559.5,5547.5,204.73673492704438,1.8906860119167679,0.32769970125692355
319,5527.25,5527.25,185.15933726701496,1.709894265292811,0.31522091370162525
320,5495.0,5495.0,153.57828047344447,1.4182521115658584,0.2950908992154106
321,5495.0,5495.0,154.2438951490094,1.4243988753933927,0.29551516725523397
322,5495.0,5495.0,154.90650787825143,1.4305179170931748,0.29593752183081323
