WAVE,INTENSITY_RAW,INTENSITY_MED,INTENSITY_CORR,INTENSITY_SNV
202,5759.104235609519,5753.002322069049,-123.35327083447373,-0.5564131429205281
203,5764.714908266148,5753.002322069049,-114.351002340185,-0.5158063517715366
204,5770.325580922778,5753.002322069049,-105.47772463635283,-0.47578140308720107
205,5775.936253579408,5753.002322069049,-96.73279134900258,-0.4363353812498628
206,5777.902329362995,5753.002322069049,-88.11555418889384,-0.3974653620026184
207,5769.60232693168,5753.002322069049,-79.62536299915519,-0.3591684126641878
208,5761.302324500365,5753.002322069049,-71.26156580250426,-0.32144159234191094
209,5753.002322069049,5753.002322069049,-63.02350884832231,-0.28428195214408825
210,5742.480510360009,5742.480510360009,-65.43234836820466,-0.2951475737768307
211,5719.269036266115,5719.269036266115,-80.65527788010422,-0.3638140793090417
212,5696.05756217222,5696.05756217222,-96.00197620676954,-0.4330388723901232
213,5672.846088078326,5672.846088078326,-111.471782966918,-0.5028189742192498
214,5650.488847823228,5650.488847823228,-126.20980239686469,-0.5692981819124335
215,5649.757211592403,5649.757211592403,-119.44400088754446,-0.5387794866503672
216,5649.0255753615775,5649.431897453083,-112.39299549413772,-0.5069743140339175
217,5648.293939130752,5649.0255753615775,-105.54344997311273,-0.47607787225213427
218,5647.562302899927,5648.943452412868,-98.48948957631546,-0.44425937041698815
219,5647.96656233244,5648.455007372654,-91.96096656294867,-0.41481097408406853
220,5648.455007372654,5648.293939130752,-85.22351178921599,-0.38442014325667107
221,5648.943452412868,5647.96656233244,-78.77013912008624,-0.35531072974070965
222,5649.431897453083,5647.562302899927,-72.51074995045201,-0.327076323169427
223,5630.450339590244,5630.450339590244,-83.0754916896858,-0.3747310072771348
224,5607.424288370731,5607.424288370731,-99.6700734280721,-0.44958466391746177
225,5584.398237151219,5584.398237151219,-116.37973124644395,-0.5249573975381279
226,5561.372185931707,5561.372185931707,-133.20378810986767,-0.6008461542182054
227,5546.364288303636,5546.364288303636,-142.1234124074499,-0.6410801598145925
228,5534.352184325116,5534.352184325116,-148.16028511787954,-0.6683108550000321
229,5522.340080346595,5522.340080346595,-154.30952002428512,-0.6960483855712338
230,5510.327976368075,5510.327976368075,-160.57043639714811,-0.7242896809419999
231,5504.5015440718125,5504.5015440718125,-160.7566810013468,-0.7251297798293104
232,5502.292406309233,5502.292406309233,-157.43594864896568,-0.7101508569966501
233,5500.083268546654,5500.083268546654,-154.22485079264698,-0.6956664656353803
234,5497.874130784075,5499.454286338959,-149.54254809094982,-0.6745458683076289
235,5497.246494702862,5498.718355793593,-145.0754599829088,-0.654396045630995
236,5497.982425248228,5497.982425248228,-140.71595304865787,-0.6347314924459819
237,5498.718355793593,5497.874130784075,-135.83570553425488,-0.6127180197642382
238,5499.454286338959,5497.246494702862,-131.58100891237427,-0.5935262374666279
239,5492.926249503304,5492.926249503304,-131.12444394318663,-0.5914667967421582
240,5477.447967144605,5477.447967144605,-141.93075144808154,-0.6402111184896644
241,5461.969684785907,5461.969684785907,-152.84120660701228,-0.6894252220525844
242,5446.491402427208,5459.169922666667,-151.17660111458918,-0.6819166382307208
243,5438.820150176341,5457.263669647318,-148.72125767581747,-0.6708412500349006
244,5444.96799,5451.115829823659,-150.609583427502,-0.6793589752581111
245,5451.115829823659,5450.060256,-147.50703650078594,-0.6653642276938685
246,5457.263669647318,5446.491402427208,-147.0184733185988,-0.6631604517106543
247,5459.169922666667,5444.96799,-144.5844834332629,-0.652181383601844
248,5450.060256,5440.9505893333335,-144.7438064851176,-0.6529000466694905
249,5440.9505893333335,5438.820150176341,-143.11480282282628,-0.6455520530457087
250,5431.840922666666,5438.820150176341,-139.45330477384869,-0.6290360285945827
251,5422.242137286555,5440.9505893333335,-133.758622223766,-0.6033488603971756
252,5410.662174087341,5440.9505893333335,-130.29094331659144,-0.5877071015177626
253,5399.082210888126,5440.9505893333335,-126.91913870324333,-0.5724978055701581
254,5387.502247688911,5440.9505893333335,-123.64251820265599,-0.557717859334799
255,5381.5169588755225,5440.9505893333335,-120.46039167746312,-0.5433641497892382
256,5415.794982445372,5440.9505893333335,-117.37206906675056,-0.5294335642558835
257,5450.073006015222,5450.073006015222,-105.25444373626215,-0.4747742435158893
258,5484.351029585072,5466.985356955774,-85.43930829756118,-0.38539354276709603
259,5516.344777103194,5479.325211992629,-70.2884032736547,-0.317051920162272
260,5504.004922066339,5482.204443553861,-64.68916680093116,-0.2917952833283509
261,5491.665067029484,5484.351029585072,-59.91293173330905,-0.2702509825787714
262,5479.325211992629,5491.665067029484,-50.05891219296791,-0.22580217351397028
263,5466.985356955774,5498.01468211756,-41.25829331146997,-0.18610496906716004
264,5482.204443553861,5504.004922066339,-32.90533956073159,-0.1484270605879131
265,5498.01468211756,5513.824920681259,-20.810229181386603,-0.09386929868493767
266,5513.824920681259,5516.344777103194,-16.102175465609434,-0.07263254551810133
267,5529.635159244958,5529.635159244958,-0.7098233500919378,-0.0032018205799266186
268,5539.810752067438,5539.810752067438,11.482198830537527,0.05179308416955779
269,5549.449418077776,5549.449418077776,23.052439813051933,0.10398330260378219
270,5559.088084088113,5559.088084088113,34.53851213541657,0.15579385904434792
271,5568.72675009845,5568.72675009845,45.941100991124586,0.20722784421323145
272,5588.042966748769,5588.042966748769,66.93844165299743,0.301941152029126
