WAVE,Nylon_raw,PET_raw,Styro_raw
200,0.2016079665803716,-1.522243515287316,1.6708168159070353
201,0.25744276680731365,-1.416284799641887,1.7740335146696562
202,0.29327546939348703,-1.3152835749801046,1.8602435401089157
203,0.3117185795855502,-1.2207065454875015,1.9303967418801065
204,0.3153845855399653,-1.134020485111631,1.9854429177766617
205,0.3068859584311055,-1.0566922372697019,2.026331814016772
206,0.2888351525585745,-0.9901887145561792,2.0540131255284098
207,0.26384460545454785,-0.9359768984523231,2.0694364962338523
208,0.2378500725842341,-0.9050496626048551,2.076080420798315
209,0.20701685747881762,-0.8938105254754225,2.0669065525581956
210,0.17555267700040275,-0.8968638967150439,2.044948584540986
211,0.14883681964132653,-0.90724151450411,2.0169274605764804
212,0.13678346010055256,-0.9191570713254703,1.9943191790771981
213,0.13934214270393966,-0.9259502363585435,1.9781867408698086
214,0.15353297136763244,-0.9229279229065799,1.9665203769050659
215,0.17040052935033578,-0.9104659382799023,1.9499449681696872
216,0.18776692324142574,-0.8800452602519478,1.932017557680713
217,0.19901196111396133,-0.8333376579664307,1.9059994546833134
218,0.19778701848342028,-0.7752495472916616,1.8641466148991006
219,0.18322911328175334,-0.7172371175626919,1.8004626016427971
220,0.14651941736570812,-0.6693116018989087,1.7040082831308878
221,0.08844887329594697,-0.6378527666943913,1.575375199881405
222,0.014201652674670428,-0.6273388759833209,1.420736677090464
223,-0.06616332058905172,-0.6297376306886857,1.249312254375324
224,-0.14751834213653306,-0.6452139209236546,1.0822695676730107
225,-0.22155847211075586,-0.6710818807563999,0.9259293936413302
226,-0.27754252954957,-0.7023907740138453,0.7755698397442561
227,-0.31611468229667333,-0.7334382979973897,0.617272497298697
228,-0.32856668447622445,-0.7592115636659276,0.43416274850590325
229,-0.3123604532266943,-0.7741388828700861,0.22278768529702403
230,-0.2742505385978769,-0.7718269110030566,-0.0021286162615715997
231,-0.22613954968178876,-0.7577661912784985,-0.23932367105667504
232,-0.18091670891665526,-0.7323880191364807,-0.48317748670474786
233,-0.14962834369620961,-0.6971711849436851,-0.7287422621841347
234,-0.1382685250671511,-0.6593537848871568,-0.9752930563287014
