WAVE,INTENSITY_RAW,INTENSITY_MED,INTENSITY_CORR,INTENSITY_SNV
202,12659.342235993201,12659.342235993201,-33.424835968313346,-0.2120144155984448
203,12665.191041238464,12665.191041238464,-33.60016112751509,-0.21312650665561284
204,12671.039846483729,12671.039846483729,-33.837693143372235,-0.21463317707204663
205,12676.888651728994,12676.888651728994,-34.13662926577308,-0.21652933498743127
206,12686.891673938731,12686.891673938731,-30.341955618818247,-0.1924596427261305
207,12708.596269124726,12708.596269124726,-14.905525086327543,-0.0945460493323583
208,12730.300864310722,12730.300864310722,0.471874684386421,0.0029931107366781926
209,12752.005459496719,12752.005459496719,15.79102327817236,0.10016278240355887
210,12774.180916399904,12774.180916399904,31.523556284304505,0.19995455982089758
211,12799.045657338847,12799.045657338847,49.88866421181592,0.31644481360477883
212,12823.91039827779,12823.91039827779,68.19782556487189,0.4325801971269454
213,12848.775139216736,12848.775139216736,86.45179726373499,0.5483655115480456
214,12873.715742654005,12873.715742654005,104.7271931381274,0.6642867199510581
215,12900.57686512783,12873.715742654005,98.00829302570492,0.6216685996364936
216,12927.437987601656,12879.021753785366,96.54245174071548,0.6123707384984431
217,12954.29911007548,12887.029600604435,97.72622858795694,0.6198794591606325
218,12981.160232549308,12900.57686512783,104.39793486557937,0.6621982280194586
219,12952.525369553985,12915.703726956097,112.59847401901789,0.7142144149604386
220,12919.77748507921,12919.77748507921,109.69586347649238,0.6958030971468337
221,12887.029600604435,12927.437987601656,110.3306644040731,0.6998296523649137
222,12854.28171612966,12952.38570012683,128.20405011991716,0.8132009021410649
223,12879.021753785366,12952.38570012683,121.0818004937446,0.7680243276423044
224,12915.703726956097,12952.38570012683,113.91232516077434,0.7225481995230753
225,12952.38570012683,12949.785414432512,104.09603027873891,0.6602832410736492
226,12989.06767329756,12941.197563619931,88.24632304695479,0.5597482251555076
227,12989.425775672442,12935.31470089399,75.05643809416688,0.4760845161484533
228,12976.2123219258,12935.31470089399,67.70492631309025,0.4294537271297877
229,12962.998868179155,12935.31470089399,60.309596089909974,0.3825449968400325
230,12949.785414432512,12935.31470089399,52.87111342418393,0.33536254972795365
231,12941.197563619931,12935.31470089399,45.390139231818466,0.28791057799661146
232,12935.31470089399,12935.31470089399,37.867329373597386,0.24019324178432133
233,12929.431838168051,12929.431838168051,24.42047195786472,0.15489955120884621
234,12923.54897544211,12923.54897544211,10.933075546687178,0.0693487209592588
235,12905.417836874542,12905.417836874542,-14.842494835236721,-0.09414624716541146
236,12876.726266808511,12876.726266808511,-51.21775892008918,-0.3248752884226361
237,12848.034696742481,12848.034696742481,-87.63165419827783,-0.555849368126325
238,12819.34312667645,12819.641269150967,-123.78541206981208,-0.7851733909591553
239,12805.601922441889,12819.34312667645,-131.88126862450008,-0.8365255740432924
240,12810.281704678247,12816.511721241734,-142.5471555018903,-0.9041795118301812
241,12814.961486914606,12814.961486914606,-151.96802699895125,-0.9639362916917342
242,12819.641269150967,12814.961486914606,-159.8742130358787,-1.01408539081707
243,12816.511721241734,12814.961486914606,-167.81534582703716,-1.064456157916553
244,12799.559009999999,12814.961486914606,-175.79082798000672,-1.1150448037178922
245,12782.606298758266,12814.961486914606,-183.80006679542566,-1.1658475687169592
246,12765.653587516532,12814.961486914606,-191.84247424003115,-1.2168607230067865
247,12764.88868762255,12816.511721241734,-198.36723259257815,-1.2582473981827103
248,12806.16551360294,12819.641269150967,-203.34468381623446,-1.2898194727128045
249,12847.442339583333,12847.442339583333,-183.68204477375184,-1.1650989526287154
250,12888.719165563725,12888.719165563725,-150.5745128029812,-0.95509720275304
251,12922.214353385672,12922.214353385672,-125.27891650565653,-0.7946467200267316
252,12924.189976545633,12924.189976545633,-131.5326217866732,-0.8343141000470758
253,12926.165599705593,12926.165599705593,-137.81550786526168,-0.8741665744609937
254,12928.141222865554,12928.141222865554,-144.12702307630389,-0.9142006440454005
255,12933.570165411245,12933.570165411245,-147.01330079655963,-0.9325083624345575
256,12963.851685175547,12963.851685175547,-125.07454035736737,-0.7933503579538516
257,12994.133204939848,12994.133204939848,-103.16278051737027,-0.6543636188239934
258,13024.41472470415,13024.41472470415,-81.27748716670976,-0.5155447571752673
259,13054.250188734644,13054.250188734644,-59.864186253867956,-0.37971975317674345
260,13075.428530257985,13075.428530257985,-47.133419065808994,-0.2989682375061544
261,13096.606871781327,13096.606871781327,-34.42754188260915,-0.21837459964353498
262,13117.785213304667,13117.785213304667,-21.746037739774692,-0.13793556047256797
263,13138.96355482801,13138.96355482801,-9.088393895914123,-0.057647867664159705
264,13143.034110531235,13143.034110531235,-13.561887627738543,-0.08602332955513936
265,13146.737696364977,13146.737696364977,-18.425198614284454,-0.11687141023556906
266,13150.44128219872,13150.44128219872,-23.31085676384464,-0.14786123942633464
267,13154.144868032465,13154.144868032465,-28.218365977649228,-0.17898967036283053
268,13175.633523256216,13175.633523256216,-15.362164865631712,-0.09744252475678378
269,13198.816922222497,13198.816922222497,-0.8320911493847234,-0.005277971115988829
270,13222.000321188778,13222.000321188778,13.677595304721763,0.08675726570564667
271,13245.183720155059,13245.183720155059,28.167374347453006,0.178666229411304
