WAVE,INTENSITY
200,7.421908226799691
201,-16.967600777154026
202,21.892954245229028
203,25.22910193934944
204,-8.83855918844411
205,10.726897878001893
206,15.482747233702801
207,-12.749890355834648
208,10.664566845056864
209,30.032213717139264
210,47.76572688259668
211,-21.306743070114592
212,-6.821043702371645
213,-13.284831247096642
214,3.4378980784706514
215,6.367030696625419
216,43.02096828953987
217,-25.523071985171974
218,23.455572213895795
219,-48.31046782015984
220,57.418094601434106
221,48.35210961748605
222,-10.808715404052165
223,-67.76213813275216
224,14.992726439103446
225,88.48688375248138
226,22.317805253092363
227,2.2103867515301903
228,-6.8161035314941865
229,-25.94188957895932
230,7.93857846252094
231,8.081661995999136
232,-20.127897679180297
233,51.96616267133509
234,5.365659277021383
235,-40.98048476648168
236,-8.186857675185694
237,-29.058552610184854
238,15.157232376192079
239,8.449750155578846
240,32.56606973603674
241,2.6432387721748087
242,18.249989599321005
243,-33.776031406205334
244,42.019254522826124
245,-17.770931545379025
246,-19.413296364165213
247,-27.95045264743205
248,-0.010512487530098424
249,3.568576153018129
250,-6.4890633013841486
251,-10.860022173225722
252,-39.06223363774389
253,15.70199175222763
254,-1.3241640223901674
255,-11.928927135350909
256,0.8096462697643652
257,21.072079446332403
258,-9.017678163683177
259,-8.852087692137859
260,0.0004510714689031359
261,-40.191891735054774
262,-38.28735056879009
263,6.076388894717972
264,19.8674495584026
265,-25.636897534037725
266,6.7561199836501995
267,11.596830697259723
268,-21.96169670121732
269,1.037473490595438
270,21.946402780666396
271,-77.01041004080885
272,10.859384268659523
273,-16.760423755558914
274,-11.809811527712498
275,-14.469712038710385
276,-13.405958865985367
277,13.67649148196239
278,-9.492254051427265
279,-29.392247333884036
280,29.76063105184778
281,-1.8675629096866768
282,16.88594567473996
283,-4.67761646317968
284,-54.114207254769624
285,7.080887245184371
286,-2.5999459382636028
287,2.8491668174272213
288,-8.546708640659043
289,-4.537352540887442
290,-19.12290986386741
291,-22.85557686828977
292,-8.735476417659356
293,63.71886925966898
294,22.461126109239345
295,-12.603820039005996
296,-10.184068163156878
297,13.573424293217855
298,-30.38954904790114
299,1.036558806843507
300,-11.180883295247716
301,14.737956843753178
302,-10.708205542376339
303,-13.824339754634602
304,56.97831751682183
305,41.007229341351774
306,-15.272433844499666
307,6.591107979804158
308,-64.23944173824802
309,-0.5528779186773285
310,26.133815475565992
311,-3.9917148823595747
312,38.85927980097381
313,15.159419620966158
314,-14.333529396123321
315,34.22721295794376
316,-22.202521292906308
317,73.14345714712107
318,8.567240656013078
319,-3.9649244867519213
320,-50.478572938680195
321,-21.890995772155925
322,-15.473558456291883
323,10.06225124872558
324,18.954638481567525
325,-16.29018800105221
326,28.893705863576372
327,22.95808391417396
328,23.720509176071747
329,-11.374901101992469
330,-18.402310720129183
331,-11.457669945027753
332,-38.22034991925174
333,16.188128942315664
334,7.8048986129634095
335,59.49188259180891
336,-60.72379975301127
337,-13.479983768571566
338,-15.549615260511143
339,-25.29670384220829
340,-25.475270315119097
341,49.46137370445581
342,4.338169516974558
343,-20.596780165298586
344,24.250989424725617
345,12.218111204817856
346,44.3644941995217
347,-24.550447544706316
348,10.645574560288539
349,35.53223130960716
350,33.45253405586273
351,49.23782138624067
352,-21.648640303511925
353,-2.8951068510011724
354,-24.582284535504467
355,-27.2673853211951
356,12.310929825855968
357,-8.129991116293198
358,-4.9306832170399675
359,-37.15789167933877
360,-39.11378436453933
361,45.75772150670799
362,-21.01767361319821
363,-32.32495800910609
364,-29.97287518691177
365,-11.171070676289858
366,9.64781852287456
367,-30.794954673487087
368,9.677259280671624
369,9.07495180599016
370,-48.52186230853131
371,66.00004364805025
372,13.926970746159327
373,-1.9000015236868433
374,12.079491197469034
375,48.47565679482675
376,26.806489044924454
377,2.6766418655456814
378,8.43945386125822
379,15.584634336192378
380,-5.122293594284449
381,12.075377952153193
382,1.3225323734245547
383,-35.13441744630158
384,-6.4571536438972945
385,17.262644966716817
386,-0.1792469421490216
387,-20.392471150676116
388,-12.00349335253082
389,-28.695317640683832
390,-13.64696727259124
391,24.758652273729798
392,-11.827287374373057
393,29.161140491321127
394,30.202313848820264
395,3.6841166074139053
396,12.388224753059584
397,15.534961650165252
398,36.627845110379866
399,-9.518176130902313
400,-32.16314428962279
401,-18.62053924728739
402,11.260510134574758
403,18.75645702098602
404,-24.01983544038361
405,-50.472482296378374
406,10.380729777979836
407,-15.539077076240421
408,-26.988528428918837
409,-23.809916165535913
410,-28.599239582938903
411,17.440775908223134
412,9.077088463913258
413,40.41712424575603
414,7.664273730018942
415,-41.075915186542694
416,-50.63729274332582
417,-19.522466344782455
418,33.132279186000794
419,8.737806265976333
420,-9.351149578784606
421,5.328195598337891
422,-20.65378218332122
423,-5.846221086763393
424,-32.0009779727304
425,-35.75594745146736
426,4.801449806315418
427,-32.64465213374876
428,21.664338915407537
429,50.185382655739986
430,-44.561041149678374
431,-4.819660300554629
432,38.32858788326802
433,-2.0467710646922077
434,24.37399961942856
435,-12.254833548357327
436,27.983345442458226
437,-2.417342751469058
438,-56.16058512423917
439,26.45932882683125
440,-24.26594388627697
441,-18.318615167737157
442,9.964321909875995
443,-14.895388827832893
444,3.0324891224347144
445,17.180067030619874
446,26.08128238054543
447,13.91455861429204
448,48.057591194453224
449,-12.187637830501599
450,-26.918338260197377
451,-13.361088286839163
452,3.155759171310148
453,16.395379627291337
454,-5.864353214593448
455,3.13789123676266
456,-16.231426132277782
457,47.95521212207746
458,-7.146032239618858
459,-25.5114561457949
460,-37.265583885587716
461,9.26485814850303
462,-27.727663597935432
463,4.512793434889439
464,6.434929671976465
465,11.281321208358497
466,-8.593614550862162
467,-18.435050295041062
468,8.43340078490425
469,36.361585651067884
470,-1.7757350038501336
471,15.941280865270658
472,20.34935626735921
473,-29.95260625799404
474,14.26978177400749
475,23.78738077563999
476,-2.8972672476620493
477,-4.177500303185463
478,-19.797950293081364
479,-9.511931691272176
480,-4.3786187930041285
481,-14.8957386770099
482,2.4317116080804753
483,-3.410105287739025
484,31.250964258480685
485,-39.09824345401677
486,14.769404162991568
487,16.595885378417332
488,4.625821648975402
489,-28.704308700639242
490,13.61881595397602
491,-12.26330777654855
492,15.059846745317568
493,10.440995349324488
494,-36.75342419357643
495,-3.517957948082892
496,-27.260950844880227
497,72.1394848373053
498,49.64731608345032
499,-27.621344612709848
500,-38.91729494300752
501,2.645735771946291
502,22.79761404051513
503,-20.132355419477598
504,-35.700093238070274
505,10.817074602953529
506,38.01507399066492
507,33.72786847625047
508,-21.20822148786572
509,11.798145339097449
510,-7.675159627422519
511,-23.0722678414789
512,-8.508713134304875
513,47.62483339444811
514,-6.746389461527298
515,-7.037652561171088
516,-0.8304495342241882
517,-34.991245307735646
518,26.43840761535575
519,-37.00672770318382
520,-0.027830519543199816
521,-18.683329734959102
522,-51.27411133502506
523,-5.900408142359041
524,-4.231114844889391
525,22.782836516111622
526,37.25200955716909
527,-52.698908872249596
528,-0.7635802962512839
529,-30.048581497340074
530,-7.174727965065118
531,-19.236578585442327
532,-61.88365695942357
533,-47.10907646104792
534,16.08666204582608
535,33.10419598299201
536,8.094153195477494
537,-38.922580496328365
538,40.46260348914793
539,-19.440201637899204
540,-26.871590937386912
541,-53.36019884148065
542,-4.086317451429271
543,-29.66243074917694
544,24.98774293306168
545,26.59287129282683
546,-25.010687682385743
547,29.315458637304395
548,-42.93038620317291
549,-49.26379721567088
550,8.842327462643704
551,1.1466167498761757
552,-7.106337776884734
553,15.086496002170831
554,12.878535402632947
555,-31.62855608106729
556,-12.548138226652016
557,10.59080214366524
558,-22.824630592875113
559,11.466956449441458
560,-30.199633648957366
561,18.796497365117485
562,-28.832112453174418
563,28.087819034149444
564,-6.011433751881969
565,7.414373031872525
566,0.5463482608625152
567,9.797020604270536
568,-8.14070432450253
569,-27.833878772153223
570,36.57999891327915
571,-1.1355089440307076
572,20.64531760936385
573,0.5079845008008119
574,-10.741252639405795
575,30.426468715010476
576,44.934035554542675
577,25.332129402859145
578,15.140135456017077
579,20.726465121148575
580,46.755472971410754
581,6.472607477224475
582,40.30223912604988
583,46.75240014585307
584,65.46874463061012
585,34.80045687308663
586,86.89898272797821
587,60.02060613681202
588,141.51563998131064
589,86.12548317312431
